top - 04:16:55 up  5:33,  1 user,  load average: 0.32, 0.26, 0.30
Tasks: 188 total,   1 running, 186 sleeping,   0 stopped,   1 zombie
%Cpu(s):  4.9 us,  0.0 sy,  0.0 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7976.4 total,   3910.4 free,   2183.9 used,   1882.1 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.   5520.2 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 7925 nobody    20   0   37644  24712  13940 S  13.3   0.3   0:29.97 sidecar
 1051 root      20   0  447556 256332  60976 S   6.7   3.1  10:03.39 kube-apiserver
 1058 root      20   0   10.1g 130448  17548 S   6.7   1.6   3:45.09 etcd
 1086 root      20   0  610804  87368  38032 S   6.7   1.1   4:25.71 dockerd
 2402 root      20   0 1163736  35616  21256 S   6.7   0.4   0:34.71 docker-containe
 5098 root      20   0   39460  24056  17596 S   6.7   0.3   0:14.64 kube-dns
    1 root      20   0  132596  10460   6784 S   0.0   0.1   0:24.88 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
    3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
    8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
    9 root      20   0       0      0      0 S   0.0   0.0   0:01.17 ksoftirqd/0
   10 root      20   0       0      0      0 I   0.0   0.0   0:22.66 rcu_sched
   11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   12 root      rt   0       0      0      0 S   0.0   0.0   0:00.05 migration/0
   13 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 watchdog/0
   14 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/0
   15 root      20   0       0      0      0 S   0.0   0.0   0:00.01 cpuhp/1
   16 root      rt   0       0      0      0 S   0.0   0.0   0:00.04 watchdog/1
